,index,track,start,end,nframes,x_first,x_std,x_last,x_nth,y_first,y_std,y_last,y_nth,conf_min,conf_mean,conf_max,mindim_mean,mindim_std,maxdim_mean,maxdim_std,x_dist,y_dist,dur_s,detect_dens,init_move,init_dir,ledge,Unnamed: 0,RandFor,KNear,NaBayes,DecTree,SVM,LogReg,multi
571,149,FAR3_2023-06-14_06-0022,2023-06-14 06:13:09.479247,2023-06-14 06:13:20.919236,35,1197.87939453125,44.92821269451379,1239.8424072265625,1188.718505859375,1086.420654296875,95.38724203738828,1306.851806640625,1162.46142578125,0.1021000742912292,0.5053893768361637,0.7420070171356201,42.20442243303572,7.444730015127025,102.7532958984375,25.451587484877248,1483.5414428710938,892.9445800781247,11.439989,3.0594435012131567,76.59060522803972,351.11553455089864,FAR3,571,1,1,1,1,1,1,6
572,150,FAR3_2023-06-14_06-0025,2023-06-14 06:13:18.759238,2023-06-14 06:13:19.199237,7,659.030029296875,8.119665530228055,640.580322265625,640.580322265625,1003.0944213867188,5.040192780742055,1015.921630859375,1015.921630859375,0.1089514419436454,0.46477833283799036,0.6777390241622925,75.68081229073663,1.7763732852230347,89.42484828404018,2.073998455014344,312.04986572265625,54.250244140625,0.439999,15.909127066197879,22.470625100213788,303.65781475742654,FAR3,572,0,0,0,1,0,0,1
573,151,FAR3_2023-06-14_06-0027,2023-06-14 06:13:51.359206,2023-06-14 06:14:00.079198,50,1255.7996826171875,25.479377170500896,1139.9339599609375,1156.450927734375,732.2130737304688,67.35702834396868,991.958251953125,901.9739990234376,0.1023270934820175,0.43421184092760085,0.7297550439834595,57.37670166015625,9.987980580753643,94.58660766601562,13.840339482020578,296.286865234375,1083.4165039062493,8.719992,5.733950214633225,196.69506057115447,330.04069425564245,FAR3,573,1,0,1,1,1,1,5
575,153,FAR3_2023-06-14_06-0031,2023-06-14 06:14:41.759159,2023-06-14 06:14:44.079156,19,1462.7611083984375,47.30497087093712,1355.9024658203125,1514.8604736328125,1195.175537109375,29.300008921368743,1252.8492431640625,1212.49072265625,0.1543153822422027,0.6076074007310366,0.7732135653495789,72.17574270148026,17.415793129947957,89.8786685341283,14.435227513508504,815.85205078125,592.1211547851562,2.319997,8.189665762498832,54.90136162562374,15.835415007809678,FAR3,575,1,1,1,1,1,1,6
576,154,FAR3_2023-06-14_06-0034,2023-06-14 06:15:03.599138,2023-06-14 06:15:26.599116,39,1446.2646484375,73.65969046232142,1249.841064453125,1366.9658203125,1161.972900390625,74.4900598612488,1290.8331298828125,1251.073486328125,0.1045529395341873,0.5541156870432389,0.801298975944519,70.33785932491988,18.566720672170792,118.94055801782852,25.309221563118076,2641.6629028320312,1524.1209716796873,22.999978,1.6956537958427613,119.2779047284287,4.843926430289522,FAR3,576,1,1,1,1,1,1,6
577,155,FAR3_2023-06-14_06-0042,2023-06-14 06:15:48.199095,2023-06-14 06:15:48.839095,6,1160.94921875,46.23737868158889,1281.893798828125,1281.893798828125,750.3240966796875,21.935706371542924,797.4806518554688,797.4806518554688,0.2839119434356689,0.4853915919860204,0.6186351776123047,38.9697265625,5.687957230597058,108.49226888020833,10.370040500605311,141.9840087890625,72.73455810546875,0.64,9.375,129.81268099196046,347.5540763140745,FAR3,577,1,0,0,0,0,0,1
578,156,FAR3_2023-06-14_06-0048,2023-06-14 06:17:31.198997,2023-06-14 06:17:51.438978,42,1334.3092041015625,80.12656094871598,1473.5762939453125,1325.95654296875,1251.935302734375,51.05849028077183,1254.0081787109375,1141.014892578125,0.1044539883732795,0.5582641930807204,0.8351260423660278,64.19556826636905,15.947928156113488,100.38314092726935,18.55963190172905,1890.074462890625,1175.7188720703125,20.239981,2.075100762199332,111.23445660958804,2.6398151187268106,FAR3,578,1,1,1,1,1,1,6
579,157,FAR3_2023-06-14_06-0055,2023-06-14 06:18:15.718955,2023-06-14 06:18:22.398949,28,1466.5999755859375,21.116153533124134,1493.4481201171875,1474.1583251953125,1326.708740234375,109.02556966499881,1089.60986328125,1329.6937255859375,0.2460211813449859,0.5462834505098206,0.7619813680648804,66.34186662946429,16.91301195043506,100.07583182198661,21.911683315199724,290.7509765625,612.7930908203125,6.679994,4.191620531395687,8.126425189871739,10.391943381809593,FAR3,579,1,1,1,1,1,1,6
580,158,FAR3_2023-06-14_06-0062,2023-06-14 06:19:19.438894,2023-06-14 06:19:27.558886,53,1396.737548828125,25.319343038711903,1377.076904296875,1329.19482421875,1222.7132568359375,26.95056899642904,1189.3951416015625,1199.814453125,0.1010579392313957,0.3977165542683511,0.7739299535751343,66.79559211011203,24.949600501108687,120.81558630601415,21.8549099552439,2903.9229431152344,1278.0444946289062,8.119992,6.527100026699534,71.31882541832778,2.5342459180317776,FAR3,580,1,1,1,1,0,0,4
581,159,FAR3_2023-06-14_06-0070,2023-06-14 06:22:39.878703,2023-06-14 06:22:40.158703,6,1421.8265380859375,7.489919086635898,1438.991455078125,1438.991455078125,1233.4130859375,6.169031455536771,1215.5391845703125,1215.5391845703125,0.1333535313606262,0.4835866192976634,0.7303925156593323,70.41347249348958,2.28178970852565,84.461669921875,1.8755632047378892,516.9701538085938,460.81243896484375,0.28,21.428571428571427,24.781257543406355,10.429920940338006,FAR3,581,1,0,0,1,0,0,2
582,160,FAR3_2023-06-14_06-0071,2023-06-14 06:23:27.918657,2023-06-14 06:23:30.398654,62,701.5252685546875,2.5259977272402843,698.5773315429688,702.1749877929688,1219.5982666015625,1.5140285107066707,1222.1214599609375,1219.668701171875,0.133278489112854,0.5284211058770457,0.7724475264549255,38.83258844191028,1.846775703110565,124.68505170268398,11.220270011858855,795.2609252929688,25.5341796875,2.479997,25.000030241972066,0.6535259117187888,322.85356256648066,FAR3,582,0,0,0,1,0,0,1
583,161,FAR3_2023-06-14_06-0072,2023-06-14 06:23:33.038652,2023-06-14 06:23:55.718630,59,1395.59375,29.9672571824172,1425.1414794921875,1512.2060546875,1219.799560546875,28.647663415440306,1216.718017578125,1223.7647705078125,0.1119218841195106,0.4646428531761897,0.8047521114349365,65.71981139102225,19.820345576283284,78.11196537341101,23.967365245643986,1269.3331909179688,466.7313232421875,22.679978,2.601413458161203,116.67970043912803,15.29032330751752,FAR3,583,1,1,1,1,1,1,6
585,163,FAR3_2023-06-14_06-0076,2023-06-14 06:24:22.398605,2023-06-14 06:24:23.998603,19,1362.169189453125,26.667578607195477,1363.3524169921875,1323.918212890625,1189.93017578125,29.523475039163333,1270.7830810546875,1221.4228515625,0.1071521341800689,0.39564536276616546,0.7593556046485901,60.07930072985197,25.11574510144957,96.17355186060855,12.568771359230535,882.0855712890625,198.210205078125,1.599998,11.875014843768554,49.547208153919776,2.032064985957389,FAR3,585,1,0,0,1,0,0,2
586,164,FAR3_2023-06-14_06-0078,2023-06-14 06:24:51.478577,2023-06-14 06:25:47.958523,327,699.74462890625,3.199652532829984,700.23193359375,700.18359375,1219.255126953125,1.2206565191556453,1219.298095703125,1218.0001220703125,0.1005159616470336,0.3616954637548975,0.7871733903884888,39.111816032946294,1.963964249376393,121.55913989332473,9.806376142525076,1583.986328125,249.160400390625,56.479946,5.789665592102372,1.3295590960659398,322.6607635835707,FAR3,586,0,0,1,1,0,0,2
588,166,FAR3_2023-06-14_06-0082,2023-06-14 06:28:03.558394,2023-06-14 06:28:06.998391,17,1186.02978515625,20.53440929214077,1259.2567138671875,1210.6859130859375,1152.6651611328125,26.70750693479827,1215.91552734375,1230.4246826171875,0.1127011999487876,0.47773707132129106,0.770386815071106,60.64671415441177,7.8519711501832745,90.26056985294117,22.467320574925495,636.8482055664062,293.7821044921875,3.439997,4.941864774882071,81.57492155046239,353.92938781418883,FAR3,588,1,0,0,1,1,1,4
589,167,FAR3_2023-06-14_06-0085,2023-06-14 06:29:45.758297,2023-06-14 06:29:51.838291,35,1162.51318359375,59.2800064209642,1275.3572998046875,1153.2532958984375,1224.329345703125,18.05054723868792,1174.0672607421875,1197.2825927734375,0.1395355314016342,0.5034234625952584,0.7430648803710938,61.33768833705357,6.293680685284832,89.06156877790178,18.394865112657346,338.364013671875,275.8883056640625,6.079994,5.756584628208515,28.587975866950764,349.1629147532901,FAR3,589,1,0,0,1,1,1,4
590,168,FAR3_2023-06-14_06-0090,2023-06-14 06:34:52.558004,2023-06-14 06:34:53.318003,19,1182.9990234375,8.470661239651504,1174.5579833984375,1196.46533203125,1214.791259765625,19.33220251361486,1202.7000732421875,1182.39794921875,0.1066540777683258,0.4639877735784179,0.7580994963645935,70.90078895970395,16.918902364365536,96.00044973273026,16.10654486243787,542.1622924804688,137.312744140625,0.759999,25.000032894780126,35.08087848569913,352.13240307157906,FAR3,590,1,0,0,1,0,0,2
591,169,FAR3_2023-06-14_06-0092,2023-06-14 06:37:43.557841,2023-06-14 06:37:54.717830,13,1268.0872802734375,6.523076898262671,1242.733154296875,1266.378662109375,1318.058837890625,6.425939115268275,1311.2152099609375,1332.120849609375,0.1010602712631225,0.4960529873004326,0.6535983085632324,69.56112905649039,2.190008938621028,73.40630634014423,2.1231250769682957,57.8228759765625,107.4505615234375,11.159989,1.1648757001462995,14.165435030694491,358.26093937105003,FAR3,591,0,0,0,1,0,0,1
592,170,FAR3_2023-06-14_06-0094,2023-06-14 06:39:15.637753,2023-06-14 06:39:15.797753,5,968.2265625,4.194476872875226,970.6979370117188,970.6979370117188,1179.6923828125,8.14323601813413,1162.227294921875,1162.227294921875,0.1029468178749084,0.4326579988002777,0.7479478716850281,52.3519165039062,3.479138663482883,83.1905517578125,13.70786774605811,287.2515258789065,59.1732177734375,0.16,31.25,17.639075571141166,334.6265088772932,FAR3,592,0,0,0,1,0,0,1
593,171,FAR3_2023-06-14_06-0095,2023-06-14 06:39:42.877727,2023-06-14 06:39:42.957727,3,979.77783203125,2.7062500924766737,984.3442993164062,984.3442993164062,1163.3992919921875,1.9571698876346322,1166.2275390625,1166.2275390625,0.475486546754837,0.5991086860497793,0.6985073685646057,56.20550537109375,2.07490985567553,90.1934814453125,2.4564150081420397,14.112548828125,5.859130859375,0.08,37.5,5.371369002138424,335.7771029573591,FAR3,593,0,0,0,1,0,0,1
594,172,FAR3_2023-06-14_06-0098,2023-06-14 06:47:25.197286,2023-06-14 06:47:37.517274,114,543.9386596679688,53.224486443792166,647.8403930664062,488.4078979492188,720.1376953125,17.09126613227935,681.615234375,684.32080078125,0.1023977175354957,0.42775062308238265,0.7203788161277771,51.72389622738487,10.877927797485942,105.81673926637883,19.38130367196715,825.6102294921875,388.4212646484375,12.319988,9.253255766158214,66.07961433700464,260.92091506834254,FAR3,594,1,1,0,1,0,0,3
595,173,FAR3_2023-06-14_06-0104,2023-06-14 06:49:42.157156,2023-06-14 06:49:42.437155,5,1221.0775146484375,3.822941612033212,1224.099365234375,1224.099365234375,1305.126220703125,3.880471956164568,1308.7718505859375,1308.7718505859375,0.194874107837677,0.49975871443748476,0.6993431448936462,83.8597412109375,6.429847223399995,85.5290771484375,6.152290410855091,59.60595703125,232.1922607421875,0.279999,17.857206632880832,4.735208359321297,355.6064082341926,FAR3,595,0,0,0,1,0,0,1
596,174,FAR3_2023-06-14_06-0106,2023-06-14 06:50:57.517083,2023-06-14 06:50:57.637083,4,1569.781005859375,11.753514904861637,1542.6702880859375,1542.6702880859375,854.6416015625,17.025885956575404,815.201171875,815.201171875,0.255696952342987,0.5671083480119705,0.7032665014266968,71.67027282714847,11.578249601230633,100.84494018554688,15.707341822161325,1207.3752746582031,291.48583984375,0.12,33.333333333333336,47.85957074740236,69.11250843293693,FAR3,596,1,0,0,1,0,1,3
597,175,FAR3_2023-06-14_06-0109,2023-06-14 06:51:31.917051,2023-06-14 06:51:32.077051,5,1461.3837890625,5.2441246235637164,1468.747802734375,1468.747802734375,803.8446044921875,17.330231761348095,793.4730224609375,793.4730224609375,0.1086222976446151,0.4166093975305557,0.7380467653274536,53.2005126953125,15.920151044728591,76.3330810546875,15.329382393920694,28.4605712890625,105.3634033203125,0.16,31.25,12.720000439878522,71.7151178371475,FAR3,597,0,0,0,1,0,0,1
598,176,FAR3_2023-06-14_06-0110,2023-06-14 06:52:02.717021,2023-06-14 06:52:03.477021,14,1429.3812255859375,15.043596256296878,1453.973388671875,1460.7900390625,752.9254150390625,23.022443861969705,764.527587890625,792.97265625,0.1575256437063217,0.33393083193472456,0.6766674518585205,45.29933820452009,12.941792840255902,103.185302734375,13.70260931255401,94.055419921875,171.1727294921875,0.76,18.42105263157895,50.89494171931534,71.16014255876705,FAR3,598,1,0,0,1,0,0,2
599,177,FAR3_2023-06-14_06-0112,2023-06-14 06:52:59.916967,2023-06-14 06:53:05.036962,51,748.1815185546875,11.39441154427538,736.75537109375,709.3160400390625,774.1224365234375,13.62811847012345,821.8352661132812,835.8030395507812,0.1321797221899032,0.534640487502603,0.7000454664230347,35.630604463465076,3.944259404839055,85.54069728477329,13.232807845650258,180.385009765625,578.9651489257812,5.119995,9.960947227487527,72.90419885071967,282.4254570064445,FAR3,599,1,0,0,1,0,0,2
600,178,FAR3_2023-06-14_06-0117,2023-06-14 06:53:45.276923,2023-06-14 06:53:54.996914,36,1565.441162109375,101.28386423709952,1358.268798828125,1540.074951171875,1232.1046142578125,25.867049487350933,1302.6171875,1217.095703125,0.1100349202752113,0.5244007758382294,0.743781328201294,55.18201361762153,17.50002470746886,75.93827650282118,17.074913202010915,659.806396484375,232.7442626953125,9.719991,3.70370713306216,29.473921875420782,17.3869030968389,FAR3,600,1,1,1,1,1,1,6
